codigo,componente,titulo original,titulo leigo,CIDS10 possíveis,CID10 mais frequente,definição,critérios de inclusão,critérios de exclusão,considerar,nota,
U14,1,Sinais/sintomas dos rins,Sinais/sintomas dos rins,N23,N23,,"dores nos rins, problemas com os rins, cólicas renais",dores lombares L05,,,
U26,1,Medo de câncer no aparelho urinário,Medo de câncer no aparelho urinário,Z71.1,Z71.1,paciente que receia ter um câncer do aparelho urinário sem o ter ou até o diagnóstico ser confirmado,,"se o paciente tem a doença, codifique-a",,,
U27,1,Medo de outra doença urinária,Medo de outra doença urinária,Z71.1,Z71.1,paciente que receia ter outra doença do aparelho urinário sem a ter ou até o diagnóstico ser confirmado,,"medo de câncer do aparelho urinário U26; se o paciente tem a doença, codifique-a",,,
U28,1,Limitação funcional/incapacidade,Limitação funcional/incapacidade,"Z73.6, Z99.2",Z73.6,limitação funcional/ incapacidade devido a problema urináriom,"transplante renal, fluxo reduzido",incontinência urinária U04,,Os quadros COOP/WONCA permitem codificar o estado funcional do paciente (ver Capítulo 8).,
U29,1,"Sinais/sintomas aparelho urinário, outros","Sinais/sintomas aparelho urinário, outros",R39.8,R39.8,,,"bexiga irritável, dores na bexiga U13; problemas dos rins U14",,,
U70,7,Pielonefrite,Pielonefrite,"N10, N11, N12, N15.1, N15.9",N12,"dois entre os seguintes: dor na região lombar, sensibilidade renal ou evidência de lesões crônicas renais; além de evidência clínica ou laboratorial de infecção do aparelho urinário",infecção dos rins; abcesso renal e perirrenal,,cistite/outra infecção urinária U71,,
U71,7,Cistite/outra infecção urinária,Cistite/outra infecção urinária,"N30, N39.0",N30,,"bacteriúria assintomática, cistite aguda e crônica (não-venérea), infecção do aparelho urinário inferior, infecção do aparelho urinário NE","pielonefrite U70, uretrite U72; vaginite X84; balanite Y75;",,em caso de gravidez codifique também W84,
U72,7,Uretrite,Uretrite,"A56.0, A56.2, A59.0, B37.4, N34",N34.1,"secreção uretral com freqüência, ardor, dor ou urgência durante a micção sem bacteriúria ao microscópio ou cultura; ou inflamação do meato urinário externo","uretrite por chlamydia, uretrite não específica, síndrome uretral, meatite",uretrite gonocócica feminina X71; uretrite tricomonal feminina X73; uretrite gonocócica masculina Y71,"micção dolorosa U01; micção freqüente/urgente U02; bexiga irritável U13; secreção uretral X29,Y03",,
U75,7,Neoplasia maligna do rim,Câncer de rim,"C64, C65",C64,aparência histológica característica,,,neoplasia do aparelho urinário NE U79 (quando não há dados histológicos disponíveis),,
U76,7,Neoplasia benigna do rim,Tumor benigno do rim,C67,C67,aparência histológica característica,,,neoplasia do aparelho urinário NE U79 (quando não há dados histológicos disponíveis),,
U77,7,"Neoplasia maligna do aparelho urinário, outra","Câncer do aparelho urinário, outra","C66, C68",C68,aparência histológica característica,"neoplasia maligna do ureter, neoplasia maligna da uretra",neoplasia maligna da próstata Y77,neoplasia do aparelho urinário NE U79 (quando não há dados histológicos disponíveis),,
U78,7,Neoplasia benigna do aparelho urinário,Tumor benigno do aparelho urinário,D30,D30,aparência histológica característica,papiloma da bexiga; pólipo do aparelho urinário,hipertrofia prostática Y85,neoplasia do aparelho urinário NE U79 (quando não há dados histológicos disponíveis),,
U79,7,Neoplasia do aparelho urinário NE,Tumor do aparelho urinário NE,"D09.0, D09.1, D41",D41,,neoplasia da bexiga/rim/ureter/uretra NE,"neoplasias do aparelho urinário histologicamente comprovadas U75, U76, U77, U78",,,
U80,7,Lesões traumáticas do aparelho urinário,Lesões traumáticas do aparelho urinário,"S37.0, S37.1, S37.2, S37.3, T19.0, T19.1, T28.3, T28.8",S37.0,,"contusão do rim, corpo estranho no aparelho urinário",,,,
U85,7,Malformação congénita do aparelho urinário,Malformação congénita do aparelho urinário,"Q60, Q61, Q62, Q63, Q64",Q64,,"duplicação de rim/ureter, rim policístico (congênito)",,,,
U88,7,Glomerulonefrite/ sindrome nefrótica,Glomerulonefrite/ sindrome nefrótica,"N00, N01, N03, N04, N05, N07, N08, N14, N15.0, N15.8, N16",N15.8,"três ou mais dos seguintes: hematúria, proteinúria, retenção renal de água e sal, diminuição do funcionamento renal, anomalias persistentes do sedimento urinário freqüentes; ou evidência por biópsia renal","glomerulonefrite aguda, nefropatia por analgésicos, glomerulonefrite crônica, nefrite, nefropatia, nefrosclerose, síndrome nefrótica",insuficiência renal U99,"análises de urina anormais U98, queixa do rim U14",,
U90,7,Albuminúria/proteinúria ortostática,Albuminúria/proteinúria ortostática,N39.2,N39.2,"albuminúria de esforço, sem albuminúria após repouso no leito e sem sinais de doença renal",proteinúria postural,,proteinúria NE U98,,
U95,7,Cálculo urinário,Cálculo urinário,"N20, N21, N22",N20,dores tipo cólica e hematúria ou história de cálculo urinário; ou emissão de cálculo; ou evidência imagiológica de cálculo,"cálculo ou pedra da bexiga, rim, ureter; urolitíase",,"sangue na urina U06, cólicas renais U14, outros sintomas urinários U29, resultados anormais de análise de urina U98",,
U98,7,Análise de urina anormal NE,Análise de urina anormal NE,"N39.1, R80, R81, R82",R82,,"glicosúria, proteinúria, pus na urina, piúria",hematúria/sangue na urina U06; albuminúria/proteinúria ortostática U90,,,
U99,7,Outras doenças urinárias,Outras doenças urinárias,"N06, N13, N17, N18, N19, N25, N26, N27, N28, N29, N31, N32, N33, N35, N36, N37, N39.8, N39.9, R39.2, T19.8, T19.9, Z90.5, Z90.6",N39,,divertículo da bexiga; hidronefrose; rim hipertrófico; obstrução do colo vesical; insuficiência renal; carúnculo uretral; aperto uretral; refluxo uretérico; uremia; e outras doenças do aparelho urinário NE,,,,
W01,1,Questão sobre gravidez,Questão sobre gravidez,Z32.0,Z32.0,,menstruação em atraso ou sintomas que indiciem uma gravidez,"receio de gravidez W02, gravidez confirmada W78,W79",,,
W02,1,Medo de estar grávida,Medo de estar grávida,Z71.1,Z71.1,,preocupação com a possibilidade de uma gravidez indesejada,preocupação ou medo numa gravidez não desejada confirmada W79,,,
W03,1,Hemorragia antes do parto,Hemorragia antes do parto,"O20, O46",O46,,hemorragia vaginal durante a gravidez,hemorragia intraparto W17,,,
W05,1,Vómitos/náuseas durante a gravidez,Vômitos/náuseas durante a gravidez,O21,O21,,"hiperemese, enjôos matinais no caso de gravidez confirmada",,,,
W10,1,Contracepção pós-coital,Contracepção pós-coital/ pilula do dia seguinte,Z30.3,Z30.3,,“pílula do dia seguinte”,,,,
W11,1,Contracepção oral,Contracepção oral,Z30.4,Z30.4,,planejamento familiar por terapia hormonal,,,,
W12,1,Contracepção intra-uterina/ Dispositivo Intrauterino/ DIU,Contracepção intra-uterina/ Dispositivo Intrauterino/ DIU,"Z30.1, Z30.5",Z30.5,,planejamento familiar por DIU,,,,
W13,1,Esterilização,Esterilização,Z30.2,Z30.2,,planejamento familiar por esterilização feminina,,,,
W14,1,Contracepção/outros,Contracepção/outros,"Z30.0, Z30.8, Z30.9",Z30,,"contracepção NE, planejamento familiar NE, aconselhamento genético","contracepção oral W11, DIU W12, esterilização W13",,,
W15,1,Infertilidade/subfertildade,Infertilidade/subfertildade,"N97, Z31.0, Z31.1, Z31.2, Z31.3, Z31.4, Z31.6, Z31.8, Z31.9",N97,incapacidade de engravidar após 2 anos de tentativas,esterilidade,,sinais/sintomas da gravidez W29,,
W17,1,Hemorragia pós-parto,Hemorragia pós-parto,O72,O72.1,"hemorragia franca no, durante ou até 6 semanas após o parto",sangramento pós-parto,,sinais/sintomas do pós-parto W18,,
W18,1,Sinais/sintomas pós-parto,Sinais/sintomas pós-parto,O90.9,O90,queixas relacionadas com parto e até seis semanas de puerpério,queixas no parto e durante as 6 semanas pós-parto,"depressão puerperal P76, hemorragia W17, queixas sobre o aleitamento W19, complicações W96",,,
W19,1,Sinais/sintomas da mama/lactação,Sinais/sintomas da mama/lactação,"O92.5, O92.6, O92.7",O92,,"galactorréia, ablactação, desmame","mastite puerperal W94, mamilos rachados W95",,,
W21,1,Preocupação com a imagem corporal na gravidez,Preocupação com a imagem corporal na gravidez,R46.8,R46.8,,,,,,
W27,1,Medo de complicações na gravidez,Medo de complicações na gravidez,Z71.1,Z71.1,paciente que receia complicações sem as ter ou até o diagnóstico ser confirmado,receio de malformações congênitas no bebê,"se a paciente tem complicações, codifique-as",,,
W28,1,Limitação funcional/incapacidade,Limitação funcional/incapacidade,Z73.6,Z73.6,limitação funcional/ incapacidade devido a ou relacionada a gestação/ gravidez,incapacidade devida ou relacionada com a gravidez ou com instabilidade pélvica,,,Os quadros COOP/WONCA permitem codificar o estado funcional da paciente (ver Capítulo 8).,
W29,1,"Sinais/sintomas da gravidez, outros","Sinais/sintomas da gravidez, outros",O26,R68.8,,sinal/sintoma sobre o planejamento familiar,,,,
W70,7,Sepsis/infecção puerperal,Sepsis/infecção puerperal,"O85, O86.1, O86.3",O85,infecção do canal de nascimento ou dos órgãos reprodutores até 6 semanas pós-parto,,tétano obstétrico N72,,,
W71,7,Infecções que complicam a gravidez,Infecções que complicam a gravidez,"O23, O41.1, O75.2, O75.3, O86.2, O86.4, O86.8, O98",O98,,infecções maternas que complicam a gravidez ou o puerpério,infecção puerperal W70,,,
W72,7,Neoplasia maligna relacionada com gravidez,Câncer relacionado com gravidez,C58,C58,,"corioepitelioma, coriocarcinoma",,,,
W73,7,Neoplasia benigna/incerta relacionada com a gravidez,Tumor incerto relacionada com a gravidez,O01,O01,,mola hidatiforme,,,,
W75,7,Lesões traumáticas que complicam a gravidez,Lesões traumáticas que complicam a gravidez,T14.9,T14,,conseqüências de traumatismos que interferem com a gravidez,"novo traumatismo causado pelo parto W92,W93",,,
W76,7,Malformação congénita que complica a gravidez,Malformação congênita que complica a gravidez,O99.8,O99.8,,malformações maternas que podem afetar a gravidez ou o parto,,,,
W78,7,Gravidez,Gravidez/ gestação,"Z32.1, Z33, Z34, Z36",Z34,,gravidez confirmada,"gravidez não desejada W79, gravidez ectópica W80, gravidez de alto risco W84",,,
W79,7,Gravidez não desejada,Gravidez não desejada,"Z32.1, Z64.0",Z64.0,,,,,,
W80,7,Gravidez ectópica,Gravidez ectópica,O00,O00,"confirmação por ecografia, laparoscopia, culdoscopia ou cirurgia",,,"hemorragia pré-parto W03, outros sintomas durante a gravidez W29",,
W81,7,Toxemia gravídica/ DHEG,Toxemia gravídica/ DHEG,"O10, O11, O12, O13, O14, O15, O16",O14,,"eclampsia; hipertensão, edema, proteinúria durante a gravidez; pré-eclampsia",,outros sinais ou sintomas durante a gravidez W29,,
W82,7,Aborto espontâneo,Aborto espontâneo,"O02, O03, O05, O06",O03,,"aborto - ameaça, completo, incompleto, retido, habitual","aborto provocado W83, hemorragia pré-parto W03, contrações prematuras depois da 28ª semana de gravidez W92,W93, morte fetal, nascido morto após a 28ª semana de gravidez W93",,,
W83,7,Aborto provocado,Aborto provocado,"O04, Z30.3",O04,,"interrupção da gravidez, todo o tipo de complicações",,,,
W84,7,Gravidez de alto risco,Gravidez/ gestação de alto risco,"O24.0, O24.1, O24.2, O24.3, O24.9, O25, O30, O31, O32, O33, O34, O35, O36, O40, O43, O44, O99.0, O99.1, O99.2, O99.3, O99.4, O99.5, O99.6, O99.7, Z35",Z35,,primípara idosa; anemia da gravidez; diabetes ou outra doença crônica anterior que afete a gravidez; incompatibilidade feto-pélvica; hidrâmnio; má posição do feto; gravidez múltipla; placenta prévia; cesariana anterior; trabalhos de parto prematuros; atraso de crescimento intra-uterino (ACIU),"infecções que complicam a gravidez W71, gravidez ectópica W80, toxemia da gravidez W81, diabetes gestacional W85",,,
W85,7,Diabetes gestacional,Diabetes gestacional,O24.4,O24.4,glicose plasmática em jejum acima de 5.5 mmol/L e/ou nível de glicose plasmática superior a 8.0 mmol/L (140mg/dl) duas horas depois de um teste de tolerância à glicose oral (75g),diabetes manifestada durante a gravidez,diabetes anterior T89 ou T90,hiperglicemia A91,,
W90,7,Parto sem complicações de nascido vivo,Parto sem complicações de nascido vivo,"O80, Z37.0, Z37.9, Z38, Z39",O80,,"trabalho de parto, parto normal NE",,,,
W91,7,Parto sem complicações de natimorto,Parto sem complicações de natimorto,"Z37.1, Z37.9",Z37.1,,trabalho de parto,,,,
W92,7,Parto com complicações de nascido vivo,Parto com complicações de nascido vivo,"O42, O45, O60, O61, O62, O63, O64, O65, O66, O67, O68, O69, O70, O71, O73, O75.0, O75.1, O75.4, O75.5, O75.6, O75.7, O75.8, O75.9, O81, O82, O83, O84, Z37.2, Z37.5, Z37.9, Z38, Z39",O66,,parto assistido; parto pélvico; cesariana; distocia; parto induzido; lesões causadas pelo parto; placenta prévia durante o parto; versão,"hemorragia W17, eclampsia W81",,,
W93,7,Parto com complicações de natimorto,Parto com complicações de natimorto,"O42, O45, O60, O61, O62, O63, O64, O65, O66, O67, O68, O69, O70, O71, O73, O75.0, O75.1, O75.4, O75.5, O75.6, O75.7, O75.8, O75.9, O81, O82, O83, O84, Z37.1, Z37.3, Z37.4, Z37.6, Z37.7, Z37.9",O66,,parto assistido; parto pélvico; cesariana; distocia; parto induzido; lesões causadas pelo parto;  placenta prévia durante o parto; versão,"hemorragia W17, eclampsia W81",,,
W94,7,Mastite puerperal,Mastite puerperal,O91,O91.2,"dor, inflamação da mama nas 6 semanas após o parto ou durante o aleitamento",abcesso na mama,mastite puerperal na ausência de lactação X21,problemas da lactação W19,,
W95,7,Outros problemas da mama durante gravidez/puerpério,Outros problemas da mama/ mamilo durante gravidez/puerpério,"O92.0, O92.1, O92.2, O92.3, O92.4",O92,,"problemas da mama durante o puerpério, mamilo rachado",problemas da lactação W19; mastite W94; problema não relacionado com a gravidez ou a lactação X21,,,
W96,7,Outras complicações do puerpério,Outras complicações do puerpério,"O87, O90.4, O90.8, O90.9",O90,,,"depressão puerperal P76, infecção puerperal W70, toxemia W81, problemas da mama W95",,,
W99,7,Outros problemas da gravidez/parto,Outros problemas da gravidez/parto,"O07, O08, O22, O26, O28, O41.0, O41.8, O41.9, O47, O48, O88, O90.5, O95, O96, O97, O99",O99,,,pseudociese P75,,,
X01,1,Dor genital,Dor genital,"N94.8, R10.2",R10.2,,"dor pélvica, dor vulvar","dores menstruais X02, dispareunia X04, dor na mama X18",,,
X02,1,Dores menstruais,Dores menstruais,"N94.4, N94.5, N94.6",N94.6,,dismenorréia,,,,
X03,1,Dores intermenstruais,Dores intermenstruais,N94.0,N94.0,,"mittelschmerz, dores durante a ovulação",,,,
X04,1,Relação sexual dolorosa na mulher,Relação sexual dolorosa na mulher/ dispareunia,"N94.1, N94.2",N94.1,,"dispareunia, vaginismo NE","problemas sexuais psicogênicos P07,P08",,,
X05,1,Menstruação escassa/ausente,Menstruação escassa/ausente,N91,N91.5,,"amenorréia, atraso menstrual, oligomenorréia","questão sobre a gravidez W01, medo de gravidez W02",,,
X06,1,Menstruação excessiva,Menstruação excessiva,"N92.0, N92.2, N92.4",N92.0,,menorragia,,,,
X07,1,Menstruação irregular/frequente,Menstruação irregular/frequente,"N92.0, N92.1, N92.5, N92.6",N92.1,,polimenorréia,"menorragia X06, hemorragia pubertária X08",,,
X08,1,Hemorragia intermenstrual,Hemorragia intermenstrual,"N92.3, N93.8, N93.9",N92.3,,"hemorragia uterina disfuncional, metrorragia, hemorragia durante a ovulação, hemorragia pubertária, “spotting”","hemorragia pós-menopausa X12, hemorragia pós-coito X13",,,
X09,1,Sinais/sintomas pré-menstruais,Dor/sintomas pré-menstruais,"N94.8, N94.9",N94,,qualquer sintoma relacionado com o período pré-menstrual,síndrome de tensão pré-menstrual X89,,,
X10,1,Desejo de alterar a data menstruação,Desejo de alterar a data menstruação,Z30.9,Z30,adiamento da menstruação graças a um tratamento hormonal,,,,,
X11,1,Sinais/sintomas da menopausa/ climatério,Sinais/sintomas da menopausa/ climatério,"N95.1, N95.2, N95.3, N95.8, N95.9",N95,,"sintomas relacionados com a menopausa, síndrome da menopausa, vaginite atrófica, vaginite senil",hemorragia pós-menopausa X12,,,
X12,1,Hemorragia pós-menopausa,Hemorragia pós-menopausa,N95.0,N95.0,sangramento vaginal após pelo menos seis meses de amenorréia ou comprovação de menopausa em teste laboratorial apropriado,,,menstruação irregular X07,,
X13,1,Hemorragia pós-coital,Hemorragia pós-coital,N93.0,N93.0,,hemorragia de contato,,,,
X14,1,Secreção vaginal,Secreção vaginal,N89.8,N89.8,,"corrimento vaginal, leucorréia","hemorragia X06 a X08, vaginite atrófica X11, gonorréia X71, candidíase urogenital X72, tricomoníase urogenital X73, chlamydia X92",,,
X15,1,Sinais/sintomas da vagina,Dor/sintomas da vagina,"N89.8, N89.9",N89,,ressecamento,"dores genitais X01, vaginismo orgânico X04, vaginite atrófica X11",,,
X16,1,Sinais/sintomas da vulva,Dor/sintomas da vulva,"L29.2, N90.9",N90,,"prurido, ressecamento","dor vulvar X01, abcesso na vulva X99",,,
X17,1,Sinais/sintomas da pélvis feminina,Dor/sintomas da pélvis feminina,"N94.8, N94.9",N94,,,dores genitais X01,,,
X18,1,Dor na mama feminina,Dor na mama feminina,N64.4,N64.4,,mastodinia,durante a gravidez ou lactação W19,,,
X19,1,Tumor ou nódulo na mama feminina,Tumor ou nódulo na mama feminina,N63,N63,,mamas inchadas,,,,
X20,1,Sinais/sintomas do mamilo da mulher,Dor/sintomas do mamilo da mulher,"N64.0, N64.5",N64.5,,"secreção dos mamilos, fissura, dor, prurido, retração",durante a gravidez ou lactação W19,,,
X21,1,"Sinais/sintomas da mama feminina, outros",Dor/sintomas da mama feminina/ mastite,"N61, N62, N64.3, N64.5, N64.8, N64.9",N64,,"mastite (não puerperal), mastopatia, galactorréia",mastite (puerperal) W94,,,
X22,1,Preocupação com a aparência da mama feminina,Preocupação com a aparência da mama feminina,R46.8,R46.8,,,,,,
X23,1,Medo de doença de transmissão sexual,Medo de doença de transmissão sexual,Z71.1,Z71.1,paciente que receia ter uma doença sexualmente transmissível sem a ter ou até o diagnóstico ser confirmado,,"se a paciente tem a doença, codifique-a",,,
X24,1,Medo de disfunção sexual,Medo de disfunção sexual,Z71.1,Z71.1,paciente que receia uma disfunção sexual sem a ter ou até o diagnóstico ser confirmado,,se a paciente tiver disfunção sexual P07 ou P08,,,
X25,1,Medo de câncer genital,Medo de câncer genital,Z71.1,Z71.1,paciente que receia ter um câncer do aparelho genital sem o ter ou até o diagnóstico ser confirmado,,"se a paciente tiver a doença, codifique-a",,,
X26,1,Medo de câncer na mama,Medo de câncer na mama,Z71.1,Z71.1,paciente que receia ter um câncer da mama sem o ter ou até o diagnóstico ser confirmado,,"se paciente tem a doença, codifique-a",,,
X27,1,Medo de outra doença genital/mama,Medo de outra doença genital/mama,Z71.1,Z71.1,paciente que receia ter outra doença genital/da mama sem a ter ou até o diagnóstico ser confirmado,,"se a paciente tem a doença, codifique-a",,,
X28,1,Limitação funcional/incapacidade,Limitação funcional/incapacidade,"Z73.6, Z90.7",Z73.6,limitação funcional/ incapacidade devido a problema no aparelho reprodutor feminino (incluindo mamas),,"disfunção sexual P07,P08; relações sexuais dolorosas X04, vaginismo X04",,Os quadros COOP/WONCA permitem codificar o estado funcional da paciente (ver Capítulo 8).,
X29,1,"Sinais/sintomas do aparelho genital feminino, outra",Secreção uretral/sintomas do aparelho genital feminino,"N94.8, N94.9, R36",N94,,secreção uretral na mulher,,,,
X70,7,Sífilis feminina,Sífilis feminina,"A50, A51, A52, A53, A65, N74.2",A53,"evidência de Treponema pallidum ao microscópio, ou teste sorológico positivo para a sífilis",sífilis em qualquer localização,,,,
X71,7,Gonorréia feminina,Gonorréia feminina,"A54, N74.3",A54.9,"corrimento purulento uretral ou vaginal, num contato com um caso demonstrado; ou diplococos intra-celulares gram-negativos encontrados no corrimento; ou cultura de Neisseria gonorrheae",gonorréia em qualquer localização,,uretrite U72; secreção uretral X29,,
X72,7,Candidíase genital feminina,Candidíase genital feminina,"B37.3, B37.4",B37.3,"mucosa urogenital inflamada ou pele com exsudado branco aderente, característico, ou evidência de cândida",infecção monilial da vagina ou do colo; aftas,,secreção vaginal X14; vaginite X84,,
X73,7,Tricomoníase genital feminina,Tricomoníase genital feminina,A59.0,A59.0,corrimento com mau odor característico ou evidência de tricomonas ao microscópio,,,secreção vaginal X14; vaginite X84,,
X74,7,Doença inflamatória pélvica,Doença inflamatória pélvica,"N70, N71, N73, N74.8",N73.9,"dores no abdômen inferior, sendo o útero ou anexos sensíveis à palpação, além de outros sinais de inflamação",endometrite; ooforite; salpingite,doenças venéreas X70-X73; infecção por chlamydia X92,síndrome de congestão pélvica X99,,
X75,7,Neoplasia maligna do colo,Câncer do colo,C53,C53.9,aparência histológica característica,,carcinoma in-situ X81; neoplasia cervical intraepitelial (CIN) grau 3 X81; esfregaço de pap anormal X86; CIN graus 1 e 2 X86,outras neoplasias malignas (quando o local primário é incerto) X77; neoplasias quando não há dados histológicos disponíveis X81,,
X76,7,Neoplasia maligna da mama feminina,Câncer da mama feminina,C50,C50.9,aparência histológica característica,"carcinoma-in-situ, carcinoma intraductal",,nódulo na mama X19,,
X77,7,"Neoplasia maligna genital feminina, outra","Cãncer genital feminina, outra","C51, C52, C54, C55, C56, C57",C57.7,aparência histológica característica,"malignidade nos ovários, útero, vagina, vulva ou zonas adjacentes",carcinoma in-situ X81,neoplasia genital X80 quando não há dados histológicos disponíveis,,
X78,7,Fibromioma uterino,Fibromioma uterino,D25,D25.9,"aumento do útero não devido a gravidez ou a malignidade, com um ou mais tumores sólidos do útero","útero fibromiomatoso, fibromioma do colo; mioma","pólipo cervical (adenomatoso) X80, pólipo cervical mucoso X85",,,
X79,7,Neoplasia benigna da mama feminina/ fibroadenoma,Tumor benigno da mama feminina/ fibroadenoma,D24,D24,aparência histológica característica,fibroadenoma,doença fibrocística da mama X88,nódulo na mama X19,,
X80,7,Neoplasia benigna genital,Tumor benigno genital,"D26, D27, D28",D28.9,,,pólipo do colo X85; cisto funcional do ovário X99,,,
X81,7,"Neoplasia genital feminina, outra/NE","Tumor genital feminino, outra/NE","D05, D06, D07.0, D07.1, D07.2, D07.3, D39, D48.6",D39.7,,"carcinoma in-situ, neoplasia cervical intraepitelial (CIN) de grau 3 confirmada por biópsia,  pólipo endometrial",pólipo endometrial X99,,,
X82,7,Lesão traumática genital feminina,Lesão traumática genital feminina,"S30.2, S31.4, S31.5, S37.4, S37.5, S37.6, S38.0, S38.2, S39.8, S39.9, T19.2, T19.3, T28.3, T28.8, Z41.2",S31.4,,"corpo estranho na vagina, circuncisão feminina","causada pelo parto W92, W93",,,
X83,7,Malformações congênitas genitais,Malformações congênitas genitais,"Q50, Q51, Q52, Q56, Q83",Q52.9,,"hermafroditismo, hímen não perfurado",outros síndromes genéticos A90,,,
X84,7,Vaginite/vulvite NE,Vaginite/vulvite NE,"N76, N77",N76.8,,vaginose por gardnerella,candidíase genital X72; tricomoníase genital X73; vaginite atrófica X11,,,
X85,7,Doença do colo NE,Doença do colo NE,"N72, N84.1, N86, N88",N88.9,,displasia cervical; erosão cervical; leucoplasia cervical; cervicite; pólipo cervical mucoso; laceração antiga,"anomalias do colo durante a gravidez, parto e puerpério W77; pólipo adenomatoso X78;  esfregaço de pap anormal NE X86",,,
X86,7,Esfregaço de Papanicolau/colpocitologia oncótica anormal,Esfregaço de Papanicolau/colpocitologia oncótica anormal,"N87, R87",N87.9,,neoplasia cervical intraepitelial (NIC) graus I e II; NIC grau III não demonstrada por biópsia; displasia,"neoplasia cervical intraepitelial (NIC) de grau III confirmada por biópsia X81, carcinoma in-situ confirmado por biópsia X81",,,
X87,7,Prolapso utero-vaginal,Prolapso utero-vaginal,N81,N81.9,,cistocele; retocele; procidência,incontinência de esforço U04,,,
X88,7,Doença fibrocística da mama,Doença fibrocística da mama,"N60, N64.8, N64.9",N60.9,,"doença fibrocística crônica da mama, fibroadenose cística, displasia, cisto da mama",,,,
X89,7,Síndrome da tensão pré-menstrual,Síndrome da tensão pré-menstrual,N94.3,N94.3,"ocorrência regular no ciclo menstrual de pelo menos dois dos seguintes: edema, mama sensível ou inchada, dor de cabeça, irritabilidade, alterações de humor",,,sintoma pré-menstrual X09,,
X90,7,Herpes genital feminino,Herpes genital feminino,A60,A60.9,pequenas vesículas com aparência e localização características que envolve úlceras dolorosas e escaras,herpes simples ano-genital,,,,
X91,7,Condiloma acuminado feminino,Condiloma acuminado feminino,A63.0,A63.0,aparência característica das lesões ou histologia característica,"verrugas venéreas, infecção pelo vírus papiloma humano",,,,
X92,7,Infecção por clamídia,Infecção por clamídia,"A56.0, A56.1, A56.2, A56.3, A56.4, A56.8, N74.4",A56.2,infecção por clamídia comprovada,,,,,
X99,7,"Doença genital feminina, outra","Doença genital feminina, outra","A55, A57, A58, A63.8, N61, N64.1, N64.2,  N64.8, N64.9, N75, N80, N82, N83, N84.0, N84.2, N84.3, N84.8, N84.9, N85, N89.0, N89.1, N89.2, N89.3, N89.4, N89.5, N89.6, N89.7, N90.0, N90.1, N90.2, N90.3, N90.4, N90.5, N90.6, N90.7, N90.8, N94.8, N94.9, N96, N98, N99, Z90.1, Z90.7",N90,,cisto ou abcesso de Bartholin; endometriose; fístula do aparelho genital; síndrome de congestão pélvica; cisto funcional do ovário,doença sexualmente transmissível NE A78,,,
Y01,1,Dor no pênis,Dor no pênis,N48.8,R10.2,,,"priapismo, ereção dolorosa Y08",,,
Y02,1,Dor no escroto/testículos,Dor no escroto/testículos,"N50.8, R10.2",R10.2,,"períneo, pélvis",,,,
Y03,1,Secreção uretral,Secreção uretral,R36,R36,,,,,,
Y04,1,"Sinais/sintomas do pênis, outros","Dor/sintomas do pênis, outros","N48.8, N48.9",N48,,sinais/sintomas do prepúcio,priapismo Y08,,,
Y05,1,"Sinais/sintomas do escroto/testículos, outros","Dor/sintomas do escroto/testículos, outros","L29.1, N50.8, N50.9",N50,,"nódulo no testículo, testículo retrátil",dor no testículo/ escroto Y02,,,
Y06,1,Sinais/sintomas da próstata,Dor/sintomas da próstata,"N42.8, N42.9",N42,,prostatismo,retenção urinária U08,,,
Y07,1,Impotência NE,Impotência NE,N48.4,N48.4,,impotência de origem orgânica,"diminuição do desejo sexual P07, diminuição da satisfação sexual P08, impotência psicogênica P08",,,
Y08,1,"Sinais/sintomas da função sexual masculina, outros",Sinais/sintomas da função sexual masculina/ priapismo,"N48.3, N48.8",N48,,priapismo,"diminuição do desejo sexual P07, diminuição da satisfação sexual P08, impotência psicogênica P08",,,
Y10,1,Infertilidade/subfertildade masculina,Infertilidade/subfertildade masculina,"N46, Z31.0, Z31.4, Z31.6, Z31.8, Z31.9",N46,incapacidade de engravidar após dois anos de tentativas,,,,,
Y13,1,Esterilização masculina,Esterilização masculina,Z30.2,Z30.2,,"planejamento familiar envolvendo esterilização masculina, vasectomia",,,,
Y14,1,"Planejamento familiar, outros","Planejamento familiar, outros","Z30.0, Z30.8, Z30.9",Z30,,"contracepção NE, planejamento familiar NE, aconselhamento genético",aconselhamento genético A98,,,
Y16,1,Sinais/sintomas da mama masculina,Nódulo/sintomas da mama masculina/ ginecomastia,"N62, N63, N64.5",N64.5,,"nódulo na mama masculina, ginecomastia",doença da mama masculina Y99,,,
Y24,1,Medo de disfunção sexual masculina,Medo de disfunção sexual masculina,Z71.1,Z71.1,paciente preocupado com uma disfunção sexual sem a ter,,"se o paciente tem a doença, codifique-a",,,
Y25,1,Medo de doença sexualmente transmissível,Medo de doença sexualmente transmissível,Z71.1,Z71.1,paciente preocupado com uma doença venérea sem a ter ou até o diagnóstico ser confirmado,,"medo de HIV ou AIDS B25; se o paciente tem a doença, codifique-a",,,
Y26,1,Medo de câncer genital masculino,Medo de câncer genital masculino,Z71.1,Z71.1,paciente preocupado com a possibilidade de ter câncer sem o ter ou até o diagnóstico ser confirmado,,"se o paciente tem a doença, codifique-a",,,
Y27,1,"Medo de doença genital masculina, outra","Medo de doença genital masculina, outra",Z71.1,Z71.1,paciente preocupado com outra doença genital sem a ter ou até o diagnóstico ser confirmado,,"se o paciente tem a doença, codifique-a",,,
